

 F
+--------------------------+----+----------+----+----+----+----+----+----+----+
|          Phrase          | F  | Othermax | A  | I  | LR | R  | SO | SP | SS |
|      the power       |  8  |    3     |  1  | 0  |  1  |  2  | 1  |  2  | 3  |
|      regard to       |  7  |    7     |  6  | 1  |  1  |  7  | 0  |  2  | 0  |
|       order of       |  7  |    8     |  7  | 7  |  4  |  8  | 0  |  2  | 3  |
|    in investments    |  7  |    2     |  0  | 0  |  0  |  0  | 1  |  0  | 2  |
|     the entrance     |  7  |    2     |  2  | 0  |  1  |  1  | 0  |  0  | 0  |
|      the quota       |  7  |    1     |  0  | 0  |  0  |  0  | 0  |  1  | 0  |
|      amount of       |  7  |    4     |  3  | 0  |  0  |  2  | 1  |  2  | 4  |
|     the General      |  7  |    2     |  0  | 2  |  2  |  0  | 0  |  0  | 2  |
|   General Clauses    |  7  |    2     |  0  | 1  |  2  |  0  | 0  |  0  | 2  |
|       grant of       |  6  |    4     |  2  | 4  |  2  |  3  | 0  |  0  | 3  |
|     question of      |  6  |    22    |  2  | 3  |  10 |  3  | 6  |  22 | 0  |
|      this Court      |  6  |    27    |  7  | 3  |  8  |  11 | 1  |  27 | 0  |
|      the basis       |  6  |    21    |  21 | 1  |  3  |  9  | 1  |  4  | 3  |
|      the final       |  7  |    7     |  3  | 1  |  0  |  7  | 0  |  0  | 1  |
|     final decree     |  7  |    8     |  2  | 2  |  2  |  8  | 0  |  0  | 5  |
|     the purpose      |  7  |    9     |  9  | 2  |  4  |  7  | 2  |  3  | 6  |
|      on behalf       |  6  |    3     |  3  | 0  |  1  |  1  | 0  |  2  | 2  |
|      the driver      |  7  |    5     |  5  | 0  |  3  |  0  | 0  |  0  | 0  |
|      laid down       |  6  |    12    |  2  | 1  |  0  |  2  | 0  |  12 | 1  |
|      the facts       |  6  |    9     |  8  | 1  |  1  |  9  | 4  |  7  | 1  |
|        far as        |  6  |    7     |  2  | 2  |  7  |  7  | 0  |  1  | 3  |
|     the question     |  6  |    12    |  6  | 2  |  8  |  4  | 1  |  12 | 2  |
|     According to     |  6  |    4     |  4  | 0  |  1  |  0  | 0  |  1  | 0  |
|     include the      |  6  |    1     |  1  | 0  |  0  |  1  | 0  |  0  | 1  |
|   taxable service    |  16 |    22    |  3  | 2  |  0  |  1  | 0  |  5  | 22 |
|       free of        |  6  |    1     |  0  | 1  |  0  |  0  | 0  |  0  | 0  |
|     be included      |  7  |    2     |  2  | 1  |  0  |  0  | 0  |  0  | 0  |
|   service provided   |  10 |    7     |  1  | 0  |  0  |  0  | 0  |  1  | 7  |
|    supplied free     |  6  |    0     |  0  | 0  |  0  |  0  | 0  |  0  | 0  |
|     the contract     |  7  |    8     |  0  | 0  |  1  |  0  | 1  |  8  | 6  |
|      is charged      |  6  |    0     |  0  | 0  |  0  |  0  | 0  |  0  | 0  |
|     a Government     |  6  |    2     |  2  | 0  |  0  |  0  | 0  |  0  | 0  |
|      the marks       |  7  |    3     |  3  | 0  |  1  |  0  | 0  |  1  | 0  |
|    Indian Medical    |  6  |    1     |  1  | 0  |  0  |  0  | 0  |  0  | 1  |
|       the time       |  6  |    5     |  3  | 0  |  5  |  2  | 0  |  1  | 5  |
|     the relevant     |  6  |    5     |  5  | 1  |  2  |  4  | 0  |  5  | 3  |
|    the selection     |  7  |    2     |  1  | 0  |  0  |  1  | 0  |  2  | 0  |
|       a dealer       |  7  |    5     |  0  | 0  |  1  |  1  | 5  |  0  | 4  |
|   investments and    |  6  |    1     |  0  | 0  |  0  |  0  | 1  |  0  | 1  |
|       the sale       |  7  |    11    |  11 | 1  |  9  |  3  | 1  |  2  | 6  |
|        50% of        |  6  |    4     |  4  | 1  |  1  |  1  | 0  |  0  | 0  |
|      this court      |  6  |    7     |  1  | 0  |  0  |  0  | 0  |  7  | 0  |
|       date of        |  6  |    10    |  4  | 0  |  3  |  10 | 0  |  5  | 4  |
|     the partners     |  11 |    30    |  26 | 1  |  30 |  0  | 2  |  3  | 9  |
|   the registration   |  6  |    10    |  10 | 3  |  4  |  1  | 0  |  0  | 0  |
|        21 of         |  6  |    9     |  3  | 2  |  9  |  0  | 0  |  0  | 0  |
|      the right       |  8  |    9     |  1  | 0  |  5  |  9  | 1  |  3  | 1  |
|       There is       |  6  |    5     |  2  | 0  |  0  |  5  | 0  |  0  | 0  |
|       cost of        |  8  |    14    |  3  | 0  |  5  |  14 | 0  |  1  | 5  |
|  preliminary decree  |  6  |    18    |  7  | 1  |  4  |  18 | 0  |  0  | 0  |
|      driver of       |  7  |    6     |  6  | 0  |  4  |  0  | 0  |  0  | 0  |
|        of law        |  7  |    31    |  4  | 3  |  9  |  3  | 8  |  31 | 1  |
|    the definition    |  6  |    4     |  0  | 0  |  0  |  2  | 0  |  2  | 4  |
|      the words       |  6  |    4     |  0  | 0  |  1  |  2  | 0  |  4  | 2  |
|     such service     |  6  |    6     |  1  | 0  |  0  |  0  | 0  |  0  | 6  |
|   the petitioners    |  6  |    1     |  0  | 1  |  0  |  0  | 0  |  0  | 0  |
|      the ground      |  6  |    8     |  6  | 1  |  8  |  2  | 0  |  6  | 2  |
|       also in        |  6  |    4     |  4  | 0  |  0  |  1  | 0  |  0  | 0  |
|   the application    |  7  |    8     |  6  | 0  |  4  |  2  | 0  |  1  | 8  |
|    the re-auction    |  8  |    1     |  0  | 0  |  1  |  0  | 0  |  1  | 0  |
|      the Scheme      |  8  |    5     |  0  | 0  |  1  |  0  | 5  |  2  | 1  |
|       the year       |  7  |    33    |  33 | 0  |  1  |  7  | 1  |  1  | 4  |
|      the reason      |  7  |    1     |  1  | 1  |  1  |  1  | 1  |  0  | 0  |
|   taxable services   |  6  |    5     |  1  | 0  |  0  |  0  | 0  |  4  | 5  |
|      any amount      |  6  |    8     |  0  | 0  |  0  |  0  | 0  |  1  | 8  |
|     the Revenue      |  6  |    5     |  5  | 0  |  4  |  1  | 0  |  2  | 0  |
|       or debit       |  8  |    4     |  0  | 0  |  0  |  0  | 0  |  0  | 4  |
|   the Regulations    |  6  |    2     |  2  | 0  |  0  |  0  | 0  |  0  | 1  |
|     the company      |  6  |    17    |  1  | 0  |  2  |  0  | 2  |  17 | 13 |
|   the notification   |  6  |    7     |  7  | 0  |  0  |  2  | 0  |  1  | 5  |
|       of India       |  6  |    8     |  8  | 1  |  1  |  3  | 0  |  8  | 6  |
|      the Income      |  9  |    15    |  15 | 3  |  4  |  4  | 0  |  5  | 7  |
|         3 of         |  6  |    8     |  8  | 0  |  3  |  2  | 4  |  0  | 6  |
|   partnership deed   |  7  |    14    |  14 | 0  |  6  |  0  | 0  |  2  | 1  |
|      of removal      |  13 |    8     |  0  | 0  |  0  |  5  | 0  |  0  | 8  |
|   respondent no.1    |  6  |    1     |  0  | 0  |  1  |  1  | 0  |  0  | 0  |
|      this case       |  6  |    5     |  5  | 2  |  0  |  5  | 0  |  2  | 0  |
|       the word       |  9  |    4     |  0  | 0  |  2  |  4  | 0  |  4  | 2  |
|        use of        |  7  |    6     |  1  | 0  |  0  |  6  | 2  |  2  | 2  |
|    the petitioner    |  9  |    3     |  3  | 1  |  2  |  0  | 0  |  1  | 1  |
|     admission in     |  6  |    4     |  4  | 0  |  0  |  0  | 0  |  2  | 0  |
|      the object      |  7  |    3     |  3  | 0  |  1  |  3  | 2  |  2  | 1  |
|       the law        |  7  |    3     |  1  | 0  |  1  |  0  | 0  |  3  | 1  |
|     tax Officer      |  7  |    10    |  10 | 0  |  2  |  1  | 0  |  1  | 7  |
|     Clauses Act      |  7  |    2     |  0  | 1  |  2  |  0  | 0  |  0  | 2  |
|       ought to       |  6  |    3     |  2  | 1  |  1  |  0  | 0  |  3  | 0  |
|        made a        |  7  |    8     |  8  | 0  |  3  |  3  | 0  |  2  | 4  |
|  materials supplied  |  6  |    1     |  0  | 0  |  0  |  0  | 0  |  0  | 1  |
|       as also        |  8  |    7     |  7  | 0  |  7  |  2  | 1  |  7  | 0  |
|    and properties    |  6  |    1     |  0  | 0  |  0  |  0  | 0  |  0  | 1  |
|      in nature       |  7  |    2     |  0  | 0  |  0  |  2  | 0  |  0  | 0  |
|       his case       |  7  |    11    |  11 | 2  |  1  |  7  | 0  |  2  | 0  |
|      the select      |  8  |    6     |  6  | 0  |  0  |  1  | 0  |  2  | 0  |
|       the part       |  17 |    34    |  34 | 2  |  33 |  16 | 3  |  5  | 11 |
|       as held        |  7  |    13    |  1  | 1  |  5  |  0  | 0  |  13 | 0  |
|        n the         | 223 |   329    | 329 | 33 | 114 | 193 | 39 | 141 | 89 |
|        age of        |  6  |    6     |  6  | 0  |  0  |  6  | 0  |  6  | 0  |
|      and others      |  6  |    7     |  1  | 1  |  0  |  0  | 0  |  7  | 0  |
|      of shares       |  6  |    4     |  4  | 0  |  0  |  3  | 0  |  0  | 3  |
|      Section 2       |  16 |    10    |  5  | 2  |  3  |  2  | 0  |  10 | 7  |
|       the fact       |  9  |    13    |  10 | 2  |  3  |  13 | 6  |  10 | 4  |
|   Medical College    |  6  |    7     |  7  | 1  |  0  |  1  | 0  |  4  | 0  |
|         1 of         |  8  |    12    |  5  | 3  |  12 |  4  | 5  |  2  | 2  |
|        of tax        |  10 |    10    |  5  | 0  |  0  |  1  | 0  |  1  | 10 |
|     the petition     |  10 |    5     |  5  | 1  |  3  |  1  | 0  |  2  | 1  |
|      and Export      |  6  |    2     |  0  | 1  |  1  |  0  | 1  |  2  | 1  |
|      the export      |  6  |    5     |  0  | 0  |  0  |  2  | 2  |  5  | 4  |
+----------------------+-----+----------+-----+----+-----+-----+----+-----+----+


 SS
+-----------------------+----+----------+----+----+---+----+----+----+----+
|         Phrase        | SS | Othermax | A  | F  | I | LR | R  | SO | SP |
+-----------------------+----+----------+----+----+---+----+----+----+----+
|        shall be       | 33 |    20    | 20 | 16 | 0 | 1  | 7  | 0  | 0  |
|     provisions of     | 23 |    9     | 7  | 9  | 2 | 1  | 7  | 0  | 0  |
|        the Act        | 31 |    38    | 22 | 38 | 9 | 14 | 21 | 0  | 11 |
|     the provisions    | 22 |    7     | 7  | 7  | 2 | 1  | 6  | 0  | 1  |
|         may be        | 27 |    14    | 10 | 14 | 0 | 4  | 10 | 1  | 4  |
|        value of       | 16 |    27    | 27 | 15 | 5 | 4  | 1  | 1  | 8  |
|        the case       | 15 |    30    | 17 | 17 | 5 | 10 | 30 | 0  | 14 |
|       estates or      | 15 |    0     | 0  | 0  | 0 | 0  | 0  | 0  | 0  |
|       in respect      | 14 |    14    | 8  | 14 | 1 | 4  | 8  | 0  | 5  |
|    taxable service    | 22 |    16    | 16 | 3  | 2 | 0  | 1  | 0  | 5  |
|       of service      | 14 |    4     | 4  | 1  | 1 | 0  | 1  | 0  | 1  |
|       respect of      | 14 |    12    | 8  | 12 | 1 | 4  | 8  | 0  | 5  |
|       the value       | 13 |    25    | 25 | 12 | 4 | 3  | 0  | 0  | 5  |
|      the Central      | 12 |    7     | 7  | 1  | 0 | 1  | 2  | 1  | 1  |
|      the estates      | 12 |    1     | 0  | 1  | 0 | 0  | 0  | 0  | 0  |
|      the company      | 13 |    17    | 6  | 1  | 0 | 2  | 0  | 2  | 17 |
|       of section      | 12 |    11    | 0  | 5  | 3 | 1  | 11 | 0  | 1  |
|     management of     | 11 |    8     | 0  | 8  | 0 | 1  | 1  | 0  | 0  |
|      the Amending     | 10 |    20    | 0  | 3  | 3 | 5  | 20 | 0  | 0  |
|     the Government    | 11 |    16    | 16 | 16 | 1 | 1  | 10 | 3  | 13 |
|       or tenures      | 15 |    0     | 0  | 0  | 0 | 0  | 0  | 0  | 0  |
|     proprietor or     | 10 |    1     | 0  | 0  | 0 | 0  | 1  | 0  | 0  |
|     the Provincial    | 10 |    0     | 0  | 0  | 0 | 0  | 0  | 0  | 0  |
|         as may        | 10 |    2     | 2  | 1  | 0 | 0  | 0  | 0  | 0  |
|       subject to      | 9  |    3     | 3  | 2  | 0 | 0  | 2  | 0  | 2  |
|        the said       | 9  |    29    | 7  | 29 | 1 | 12 | 13 | 0  | 5  |
|        made by        | 9  |    10    | 3  | 10 | 1 | 3  | 6  | 4  | 2  |
|        per cent       | 10 |    7     | 0  | 2  | 0 | 3  | 2  | 0  | 7  |
|       payment by      | 9  |    4     | 3  | 0  | 0 | 0  | 0  | 0  | 4  |
|      gross amount     | 12 |    24    | 24 | 3  | 1 | 0  | 0  | 0  | 1  |
|      service tax      | 12 |    13    | 13 | 6  | 1 | 0  | 2  | 0  | 2  |
|    the commencement   | 8  |    5     | 1  | 1  | 1 | 2  | 5  | 0  | 0  |
|    commencement of    | 8  |    5     | 0  | 1  | 1 | 2  | 5  | 0  | 0  |
|         (1) of        | 10 |    9     | 5  | 9  | 1 | 5  | 6  | 0  | 1  |
|     the management    | 8  |    9     | 0  | 9  | 0 | 0  | 2  | 0  | 0  |
|    or tenure-holder   | 8  |    1     | 0  | 0  | 0 | 0  | 1  | 0  | 0  |
|     the proprietor    | 9  |    3     | 0  | 3  | 0 | 0  | 1  | 0  | 0  |
|      referred to      | 9  |    11    | 4  | 11 | 2 | 0  | 6  | 0  | 5  |
|      in relation      | 8  |    3     | 3  | 0  | 0 | 1  | 1  | 0  | 0  |
|      relation to      | 9  |    2     | 2  | 0  | 0 | 1  | 1  | 0  | 0  |
|       of taxable      | 8  |    8     | 8  | 2  | 0 | 0  | 0  | 0  | 0  |
|       the gross       | 8  |    12    | 12 | 3  | 0 | 2  | 0  | 0  | 1  |
|       any amount      | 8  |    6     | 6  | 0  | 0 | 0  | 0  | 0  | 1  |
|      Amending Act     | 10 |    20    | 0  | 3  | 3 | 5  | 20 | 0  | 0  |
|         (2) of        | 8  |    5     | 0  | 5  | 2 | 3  | 5  | 0  | 2  |
|      purposes of      | 7  |    4     | 1  | 2  | 0 | 0  | 4  | 0  | 1  |
|       the amount      | 7  |    14    | 14 | 6  | 0 | 5  | 2  | 1  | 4  |
|    the application    | 8  |    7     | 7  | 6  | 0 | 4  | 2  | 0  | 1  |
|       and shall       | 8  |    2     | 0  | 2  | 0 | 0  | 0  | 0  | 0  |
|       deemed to       | 7  |    3     | 3  | 0  | 1 | 0  | 3  | 0  | 1  |
|        case may       | 7  |    3     | 3  | 3  | 0 | 0  | 1  | 0  | 0  |
|        may be,        | 7  |    2     | 1  | 2  | 0 | 0  | 0  | 0  | 0  |
|      the service      | 8  |    55    | 55 | 6  | 1 | 0  | 2  | 0  | 1  |
|       to perform      | 7  |    5     | 0  | 0  | 0 | 2  | 2  | 0  | 5  |
|        cent of        | 8  |    2     | 0  | 2  | 0 | 2  | 0  | 0  | 2  |
|         by way        | 7  |    3     | 1  | 3  | 0 | 3  | 1  | 0  | 2  |
|         way of        | 7  |    3     | 1  | 3  | 0 | 3  | 1  | 1  | 2  |
|       case where      | 7  |    3     | 0  | 0  | 0 | 0  | 0  | 0  | 3  |
|     amount charged    | 11 |    18    | 18 | 2  | 0 | 0  | 0  | 0  | 1  |
|    service provided   | 7  |    10    | 10 | 1  | 0 | 0  | 0  | 0  | 1  |
|      the taxable      | 7  |    5     | 5  | 1  | 2 | 0  | 0  | 0  | 0  |
|      provision of     | 7  |    1     | 1  | 0  | 1 | 1  | 0  | 0  | 1  |
|       service is      | 7  |    2     | 2  | 1  | 0 | 0  | 0  | 0  | 0  |
|      the Textile      | 7  |    4     | 3  | 1  | 2 | 3  | 2  | 4  | 0  |
|    sub-section (1)    | 6  |    1     | 0  | 0  | 1 | 0  | 1  | 0  | 0  |
|       the decree      | 7  |    16    | 1  | 10 | 0 | 2  | 16 | 1  | 3  |
|       of Section      | 6  |    7     | 7  | 1  | 2 | 0  | 5  | 0  | 4  |
|     Government of     | 6  |    5     | 5  | 3  | 0 | 0  | 0  | 1  | 2  |
|        case of        | 6  |    22    | 13 | 7  | 2 | 5  | 22 | 0  | 6  |
|   Central Government  | 9  |    3     | 3  | 1  | 0 | 1  | 2  | 1  | 1  |
|     Government or     | 6  |    13    | 0  | 6  | 0 | 0  | 13 | 0  | 1  |
|        place of       | 9  |    15    | 15 | 3  | 0 | 1  | 6  | 0  | 1  |
|       be deemed       | 6  |    3     | 3  | 0  | 1 | 0  | 3  | 0  | 1  |
|      published in     | 6  |    4     | 4  | 2  | 0 | 0  | 0  | 0  | 0  |
| Provincial Government | 11 |    0     | 0  | 0  | 0 | 0  | 0  | 0  | 0  |
|        a person       | 6  |    13    | 13 | 2  | 0 | 0  | 1  | 0  | 3  |
|        of Rule        | 6  |    8     | 1  | 3  | 0 | 2  | 8  | 0  | 0  |
|      the purposes     | 6  |    3     | 1  | 0  | 0 | 0  | 3  | 0  | 1  |
|         a firm        | 8  |    3     | 1  | 3  | 0 | 1  | 0  | 0  | 2  |
|         a case        | 6  |    6     | 0  | 2  | 1 | 4  | 6  | 0  | 3  |
|       charged by      | 6  |    10    | 10 | 0  | 1 | 0  | 0  | 0  | 0  |
|      provided or      | 6  |    4     | 4  | 1  | 0 | 0  | 0  | 0  | 0  |
|      provided by      | 6  |    9     | 9  | 2  | 0 | 0  | 0  | 1  | 0  |
|        if any,        | 6  |    1     | 1  | 1  | 1 | 0  | 1  | 0  | 0  |
|       the course      | 6  |    4     | 4  | 0  | 0 | 0  | 3  | 0  | 2  |
|       course of       | 6  |    2     | 1  | 2  | 0 | 0  | 2  | 0  | 2  |
|     the Income-tax    | 6  |    11    | 5  | 11 | 2 | 3  | 2  | 0  | 3  |
|       the goods       | 8  |    9     | 9  | 2  | 0 | 3  | 1  | 1  | 7  |
|  Textile Commissioner | 7  |    4     | 3  | 2  | 3 | 3  | 2  | 4  | 0  |
|       the Court       | 6  |    12    | 4  | 2  | 0 | 6  | 12 | 3  | 10 |
|        in force       | 7  |    5     | 1  | 1  | 1 | 1  | 5  | 0  | 0  |
|       shall not       | 6  |    1     | 0  | 0  | 0 | 0  | 0  | 0  | 1  |
|        of India       | 6  |    8     | 6  | 8  | 1 | 1  | 3  | 0  | 8  |
|  substantial interest | 6  |    2     | 2  | 1  | 0 | 0  | 0  | 0  | 2  |
|    service provider   | 6  |    24    | 24 | 0  | 1 | 0  | 0  | 0  | 0  |
|     the provision     | 27 |    9     | 7  | 9  | 2 | 1  | 7  | 0  | 1  |
|   Income-tax Officer  | 6  |    9     | 4  | 9  | 0 | 2  | 1  | 0  | 1  |
|      the partners     | 9  |    30    | 11 | 26 | 1 | 30 | 0  | 2  | 3  |
|        the firm       | 6  |    17    | 5  | 17 | 0 | 7  | 0  | 0  | 1  |
|        this Act       | 8  |    1     | 0  | 1  | 0 | 0  | 0  | 0  | 1  |
|      as follows:      | 8  |    5     | 1  | 3  | 1 | 0  | 0  | 1  | 5  |
|      the Manager      | 7  |    7     | 0  | 7  | 0 | 0  | 3  | 0  | 0  |
|       the order       | 6  |    13    | 13 | 10 | 8 | 9  | 10 | 0  | 3  |
|    accounting year    | 6  |    3     | 0  | 0  | 0 | 1  | 3  | 0  | 0  |
|         a part        | 6  |    11    | 10 | 11 | 3 | 7  | 5  | 0  | 8  |
|        For the        | 8  |    3     | 1  | 1  | 0 | 1  | 3  | 1  | 0  |
|      the contract     | 6  |    8     | 7  | 0  | 0 | 1  | 0  | 1  | 8  |
|       or tenure       | 29 |    3     | 0  | 0  | 0 | 0  | 3  | 0  | 0  |
|         Rule 3        | 6  |    2     | 0  | 2  | 0 | 0  | 0  | 0  | 0  |
|       a company       | 8  |    9     | 0  | 1  | 0 | 0  | 0  | 0  | 9  |
|       Section 2       | 7  |    16    | 16 | 5  | 2 | 3  | 2  | 0  | 10 |
|      such service     | 6  |    6     | 6  | 1  | 0 | 0  | 0  | 0  | 0  |
|        the sale       | 6  |    11    | 7  | 11 | 1 | 9  | 3  | 1  | 2  |
|         of tax        | 10 |    10    | 10 | 5  | 0 | 0  | 1  | 0  | 1  |
|       of removal      | 8  |    13    | 13 | 0  | 0 | 0  | 5  | 0  | 0  |
|         ed in         | 49 |    78    | 66 | 78 | 9 | 38 | 40 | 6  | 33 |
|       as follows      | 9  |    6     | 1  | 3  | 1 | 0  | 0  | 1  | 6  |
|       or tenure-      | 9  |    1     | 0  | 0  | 0 | 0  | 1  | 0  | 0  |
|       the estate      | 13 |    18    | 3  | 18 | 0 | 1  | 3  | 0  | 0  |
|       under sub-      | 11 |    4     | 0  | 1  | 1 | 0  | 4  | 0  | 0  |
|      section (1)      | 7  |    1     | 1  | 0  | 1 | 0  | 1  | 0  | 0  |
|          3 of         | 6  |    8     | 6  | 8  | 0 | 3  | 2  | 4  | 0  |
|       he amount       | 8  |    15    | 15 | 7  | 0 | 5  | 3  | 1  | 4  |
|     be prescribed     | 6  |    1     | 1  | 1  | 0 | 0  | 0  | 0  | 0  |
|        the tax        | 8  |    7     | 7  | 4  | 2 | 0  | 0  | 0  | 1  |
|      tax Officer      | 7  |    10    | 7  | 10 | 0 | 2  | 1  | 0  | 1  |
|         ing of        | 12 |    17    | 17 | 11 | 3 | 7  | 15 | 2  | 12 |
|          2 of         | 8  |    8     | 4  | 7  | 0 | 8  | 4  | 2  | 0  |
|       Section 6       | 7  |    11    | 11 | 2  | 1 | 0  | 2  | 0  | 4  |
+-----------------------+----+----------+----+----+---+----+----+----+----+


 I
+--------------------------+----+----------+----+----+----+----+----+----+----+
|          Phrase          | I  | Othermax | A  | F  | LR | R  | SO | SP | SS |
+--------------------------+----+----------+----+----+----+----+----+----+----+
|        High Court        | 23 |    62    | 33 | 57 | 62 | 51 | 2  | 13 | 3  |
|         the High         | 17 |    42    | 23 | 42 | 40 | 36 | 1  | 8  | 1  |
|        appeal by         | 7  |    5     | 0  | 5  | 2  | 1  | 0  | 0  | 0  |
|        the order         | 8  |    13    | 13 | 10 | 9  | 10 | 0  | 3  | 6  |
|         order of         | 7  |    8     | 7  | 7  | 4  | 8  | 0  | 2  | 3  |
|        the forest        | 7  |    2     | 1  | 0  | 0  | 2  | 0  | 1  | 0  |
|      special leave       | 6  |    6     | 0  | 6  | 2  | 0  | 0  | 0  | 0  |
|         Court of         | 6  |    14    | 8  | 14 | 7  | 4  | 1  | 2  | 1  |
|      under Section       | 6  |    16    | 16 | 8  | 3  | 5  | 0  | 5  | 4  |
|         the Code         | 6  |    23    | 1  | 14 | 10 | 23 | 2  | 0  | 5  |
|       this appeal        | 7  |    5     | 2  | 4  | 3  | 5  | 0  | 1  | 0  |
| registration certificate | 6  |    7     | 4  | 7  | 3  | 1  | 0  | 0  | 0  |
|       Section 12A        | 6  |    12    | 12 | 2  | 2  | 1  | 0  | 0  | 0  |
|       the assessee       | 7  |    28    | 17 | 12 | 28 | 9  | 7  | 5  | 5  |
|         the Act          | 9  |    38    | 22 | 38 | 14 | 21 | 0  | 11 | 31 |
|    agricultural lands    | 6  |    1     | 1  | 0  | 0  | 0  | 0  | 0  | 0  |
+--------------------------+----+----------+----+----+----+----+----+----+----+


 SP
+----------------------+----+----------+----+----+----+----+----+----+----+
|        Phrase        | SP | Othermax | A  | F  | I  | LR | R  | SO | SS |
+----------------------+----+----------+----+----+----+----+----+----+----+
|      Indlaw SC       | 29 |    10    | 10 | 2  | 0  | 0  | 2  | 2  | 0  |
|      this Court      | 27 |    11    | 6  | 7  | 3  | 8  | 11 | 1  | 0  |
|     question of      | 22 |    10    | 6  | 2  | 3  | 10 | 3  | 6  | 0  |
|        of law        | 31 |    9     | 7  | 4  | 3  | 9  | 3  | 8  | 1  |
|       Court in       | 18 |    11    | 11 | 6  | 4  | 3  | 8  | 0  | 0  |
|      held that       | 14 |    23    | 10 | 5  | 3  | 23 | 5  | 1  | 0  |
|       State of       | 13 |    12    | 5  | 12 | 0  | 2  | 10 | 0  | 4  |
|     the company      | 17 |    13    | 6  | 1  | 0  | 2  | 0  | 2  | 13 |
|      the State       | 13 |    33    | 18 | 33 | 0  | 3  | 21 | 0  | 5  |
|      a question      | 13 |    4     | 1  | 1  | 1  | 4  | 1  | 3  | 0  |
|       of fact        | 18 |    6     | 1  | 2  | 2  | 3  | 1  | 6  | 0  |
|  the Commissioners   | 15 |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|       was held       | 12 |    4     | 4  | 0  | 1  | 3  | 0  | 0  | 0  |
|      laid down       | 12 |    6     | 6  | 2  | 1  | 0  | 2  | 0  | 1  |
|     the question     | 12 |    8     | 6  | 6  | 2  | 8  | 4  | 1  | 2  |
|       the case       | 14 |    30    | 17 | 17 | 5  | 10 | 30 | 0  | 15 |
|      cannot be       | 12 |    11    | 11 | 3  | 0  | 1  | 11 | 1  | 1  |
|     whether the      | 14 |    11    | 11 | 3  | 5  | 4  | 8  | 1  | 3  |
|      High Court      | 13 |    62    | 33 | 57 | 23 | 62 | 51 | 2  | 3  |
|    the Government    | 13 |    16    | 16 | 16 | 1  | 1  | 10 | 3  | 11 |
|      the court       | 14 |    4     | 0  | 3  | 0  | 0  | 3  | 4  | 0  |
|       could be       | 10 |    5     | 5  | 3  | 0  | 2  | 1  | 0  | 0  |
|        It is         | 16 |    24    | 24 | 22 | 3  | 9  | 14 | 3  | 2  |
|     was whether      | 9  |    1     | 1  | 1  | 1  | 0  | 0  | 0  | 0  |
|       would be       | 9  |    16    | 16 | 5  | 0  | 3  | 10 | 3  | 4  |
|        v. The        | 9  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|       part of        | 9  |    12    | 7  | 4  | 0  | 6  | 12 | 0  | 4  |
|     questions of     | 9  |    3     | 0  | 2  | 2  | 1  | 1  | 3  | 0  |
|     decision was     | 8  |    2     | 0  | 0  | 2  | 0  | 0  | 1  | 0  |
|   Commissioner of    | 9  |    5     | 2  | 5  | 1  | 1  | 0  | 1  | 0  |
|    the conclusion    | 8  |    6     | 5  | 5  | 1  | 6  | 6  | 2  | 0  |
|       value of       | 8  |    27    | 27 | 15 | 5  | 4  | 1  | 1  | 16 |
|      number of       | 8  |    8     | 4  | 8  | 1  | 2  | 3  | 0  | 1  |
|      to support      | 8  |    2     | 1  | 0  | 1  | 1  | 2  | 1  | 0  |
|    for admission     | 11 |    18    | 18 | 12 | 1  | 1  | 3  | 0  | 0  |
|     evidence to      | 8  |    1     | 0  | 1  | 1  | 0  | 1  | 1  | 1  |
|       the High       | 8  |    42    | 23 | 42 | 17 | 40 | 36 | 1  | 1  |
|      This Court      | 7  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|    the following     | 7  |    8     | 5  | 8  | 1  | 1  | 0  | 0  | 3  |
|    the aforesaid     | 7  |    12    | 9  | 12 | 0  | 0  | 7  | 0  | 0  |
|      the facts       | 7  |    9     | 6  | 8  | 1  | 1  | 9  | 4  | 1  |
|    a shareholder     | 9  |    5     | 3  | 1  | 0  | 0  | 1  | 0  | 5  |
|       law and        | 7  |    2     | 2  | 0  | 0  | 0  | 1  | 2  | 1  |
|     carrying on      | 8  |    1     | 1  | 1  | 1  | 0  | 0  | 0  | 0  |
|      a finding       | 7  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|     question for     | 7  |    1     | 0  | 0  | 1  | 1  | 0  | 0  | 0  |
|      nature of       | 7  |    5     | 1  | 5  | 3  | 2  | 5  | 2  | 0  |
|       50% cut        | 7  |    3     | 3  | 0  | 0  | 0  | 0  | 0  | 0  |
|       cut off        | 7  |    3     | 3  | 0  | 0  | 0  | 0  | 0  | 0  |
|      the goods       | 7  |    9     | 9  | 2  | 0  | 3  | 1  | 1  | 8  |
|     to consider      | 10 |    7     | 1  | 1  | 0  | 4  | 7  | 1  | 0  |
|       upon the       | 6  |    8     | 8  | 8  | 1  | 4  | 0  | 3  | 1  |
|      the Court       | 10 |    12    | 4  | 2  | 0  | 6  | 12 | 3  | 6  |
|      within the      | 6  |    4     | 2  | 3  | 0  | 2  | 4  | 1  | 1  |
|       was also       | 6  |    5     | 4  | 5  | 0  | 5  | 2  | 0  | 0  |
